x    Q2     Ratio     stat_err    sys_err    rel_stat_err    rel_sys_err    tot    rel_tot   Norm(rel)
0.17  2.418  0.9377  0.003588  0.005483  0.003826   0.005847   0.006553   0.006988  0.0144
0.19  2.717  0.9272  0.002412  0.005128  0.002601   0.005531   0.005667   0.006112  0.0144
0.22  2.721  0.9118  0.00252  0.00489  0.002764   0.005362   0.005501   0.006033  0.0144
0.25  3.085  0.9033  0.003035  0.004767  0.00336   0.005277   0.005651   0.006256  0.0144
0.29  3.094  0.8876  0.003154  0.00468  0.003553   0.005273   0.005644   0.006359  0.0144
0.33  3.145  0.879  0.003691  0.004688  0.004199   0.005333   0.005967   0.006788  0.0144
0.36  3.356  0.8759  0.005412  0.005027  0.006179   0.005739   0.007387   0.008433  0.0144
0.385  3.459  0.8525  0.006495  0.004939  0.007619   0.005794   0.00816   0.009571  0.0144
0.43  3.468  0.8456  0.00496  0.004642  0.005865   0.005489   0.006793   0.008033  0.0144
0.48  3.67  0.8236  0.006201  0.00461  0.007529   0.005597   0.007727   0.009381  0.0144
0.51  3.854  0.8227  0.006604  0.004653  0.008028   0.005656   0.008079   0.00982  0.0144
0.55  4.003  0.8126  0.006572  0.004514  0.008087   0.005555   0.007973   0.009811  0.0144
0.59  4.213  0.8068  0.006624  0.004503  0.00821   0.005582   0.00801   0.009928  0.0144
0.63  4.171  0.7984  0.00724  0.004319  0.009068   0.005409   0.008431   0.01056  0.0144
0.67  4.409  0.7912  0.008213  0.003996  0.01038   0.00505   0.009134   0.01154  0.0144
0.7  4.567  0.7921  0.007234  0.00398  0.009132   0.005025   0.008256   0.01042  0.0144
0.74  4.728  0.775  0.006794  0.003894  0.008767   0.005025   0.007831   0.0101  0.0144
0.78  4.754  0.79  0.006966  0.00397  0.008817   0.005025   0.008017   0.01015  0.0144
0.82  4.962  0.7862  0.009314  0.003951  0.01185   0.005025   0.01012   0.01287  0.0144
