x  Q2   R   stat(rel)   ACC(rel)   boil(rel)   EC(rel)  RC(rel)   BC(rel)   sys(rel)   Norm(rel)
0.17  2.418  1.574  0.003732  0.002  0.00311  0.003  0.0025  0  0.005378  0.012
0.19  2.717  1.566  0.002579  0.002  0.002477  0.003  0.0025  0  0.005038  0.012
0.22  2.721  1.563  0.002753  0.002  0.002025  0.003  0.0025  0  0.004832  0.012
0.25  3.086  1.567  0.003361  0.002  0.001783  0.003  0.0025  0  0.004736  0.012
0.29  3.094  1.574  0.003435  0.002  0.001773  0.003  0.0025  0  0.004732  0.012
0.33  3.145  1.562  0.003991  0.002  0.00202  0.003  0.0025  0  0.00483  0.012
0.36  3.356  1.578  0.006097  0.002  0.003079  0.003  0.0025  0  0.00536  0.012
0.385  3.46  1.594  0.007657  0.002  0.003082  0.003  0.0025  0  0.005362  0.012
0.43  3.468  1.571  0.00586  0.002  0.00248  0.003  0.0025  0  0.00504  0.012
0.48  3.67  1.618  0.007344  0.002  0.002727  0.003  0.0025  0  0.005166  0.012
0.51  3.856  1.601  0.007793  0.002  0.002896  0.003  0.0025  0  0.005257  0.012
0.55  4.004  1.6  0.007798  0.002  0.002652  0.003  0.0025  0  0.005127  0.012
0.59  4.215  1.59  0.007871  0.002  0.00275  0.003  0.0025  0  0.005178  0.012
0.63  4.171  1.602  0.008712  0.002  0.002276  0.003  0.0025  0  0.004943  0.012
0.67  4.41  1.595  0.01001  0.002  0.0005722  0.003  0.0025  0  0.004425  0.012
0.7  4.568  1.627  0.008905  0.002  0  0.003  0.0025  0  0.004387  0.012
0.74  4.727  1.658  0.00855  0.002  0  0.003  0.0025  4.518e-05  0.004388  0.012
0.78  4.753  1.653  0.008608  0.002  0  0.003  0.0025  0.0001768  0.004391  0.012
0.82  4.961  1.635  0.0115  0.002  0  0.003  0.0025  0.0001846  0.004391  0.012
