x  Q2   R   stat(rel)   ACC(rel)   boil(rel)   EC(rel)  RC(rel)   BC(rel)   H3dec(rel)   sys(rel)   Norm(rel)
0.17  2.418  0.9377  0.003826  0.002  0.00299  0.003  0.0035  0    0  0.005847  0.0144
0.19  2.72  0.9272  0.002601  0.002  0.002311  0.003  0.0035  0    0  0.005531  0.0144
0.22  3.1  0.9118  0.002764  0.002  0.001873  0.003  0.0035  0    0  0.005362  0.0144
0.25  3.484  0.9033  0.00336  0.002  0.001611  0.003  0.0035  0    0  0.005277  0.0144
0.29  3.996  0.8876  0.003553  0.002  0.001599  0.003  0.0035  0    0  0.005273  0.0144
0.33  4.559  0.879  0.004199  0.002  0.001787  0.003  0.0035  0    0  0.005333  0.0144
0.36  5.015  0.8759  0.006179  0.002  0.002773  0.003  0.0035  0    0  0.005739  0.0144
0.385  5.399  0.8525  0.007619  0.002  0.002884  0.003  0.0035  0    0  0.005794  0.0144
0.43  6.013  0.8456  0.005865  0.002  0.002178  0.003  0.0035  0    0  0.005477  0.0144
0.48  6.751  0.8236  0.007529  0.002  0.002537  0.003  0.0035  0    0  0.005629  0.0144
0.51  7.218  0.8227  0.008028  0.002  0.002819  0.003  0.0035  0    0  0.005762  0.0144
0.55  7.778  0.8126  0.008087  0.002  0.002568  0.003  0.0035  0    0  0.005643  0.0144
0.59  8.317  0.8068  0.00821  0.002  0.002548  0.003  0.0035  0    0  0.005634  0.0144
0.63  8.93  0.7984  0.009068  0.002  0.002404  0.003  0.0035  0    0  0.00557  0.0144
0.67  9.381  0.7912  0.01038  0.002  0.002809  0.003  0.0035  0    0  0.005757  0.0144
0.7  9.908  0.7921  0.009132  0.002  0.002405  0.003  0.0035  0    0  0.005571  0.0144
0.74  10.49  0.775  0.008767  0.002  0.002176  0.003  0.0035  0    0  0.005476  0.0144
0.78  11.12  0.79  0.008817  0.002  0.002261  0.003  0.0035  0    0  0.00551  0.0144
0.82  11.75  0.7862  0.01185  0.002  0.002349  0.003  0.0035  0    0  0.005547  0.0144
