x     Ratio     Ratio_err      relative_err
0.19473  1.56433  0.00388622  0.00248427
0.22423  1.56041  0.00416069  0.00266642
0.254589  1.56183  0.0058474  0.00374395
0.284005  1.57761  0.00663928  0.00420845
0.314829  1.5503  0.00718117  0.00463213
0.343658  1.5738  0.00805053  0.00511534
0.373287  1.59437  0.0108562  0.00680913
0.4057  1.58417  0.0134041  0.00846125
0.434517  1.55415  0.0130429  0.00839236
0.465709  1.5865  0.0134315  0.00846614
0.494653  1.60867  0.0129909  0.00807557
0.524053  1.61472  0.0146586  0.00907815
0.555124  1.58734  0.0140059  0.0088235
0.584447  1.59807  0.0148722  0.00930635
0.61494  1.57594  0.0152948  0.00970514
0.644757  1.6146  0.0159593  0.00988438
0.6743  1.58292  0.0171786  0.0108525
0.705128  1.64205  0.0170123  0.0103604
0.734512  1.63797  0.0176085  0.0107502
0.763986  1.67603  0.0206703  0.0123329
0.793484  1.6404  0.0262594  0.0160079
0.822727  1.62954  0.0384892  0.0236197
