x    H3He   H3He_err    HeD    HeD_err    H3D    H3D_err 
0.17  0.821255  0.0173666  0.77907  0.0323579  0.863476  0.035289
0.19  0.793866  0.0147293  0.798289  0.0285953  0.789214  0.02748
0.22  0.754543  0.0138991  0.801681  0.0281004  0.713816  0.02442
0.25  0.733421  0.0140611  0.77945  0.0287167  0.694616  0.0244417
0.29  0.695527  0.013661  0.746153  0.0280207  0.657288  0.0231965
0.33  0.676123  0.0142441  0.770221  0.0307573  0.600182  0.0225364
0.36  0.670125  0.0175665  0.71371  0.03773  0.636642  0.0314485
0.385  0.616934  0.018652  0.658347  0.0412057  0.585788  0.0336263
0.43  0.603976  0.0153958  0.7075  0.0356005  0.528638  0.0251823
0.48  0.558134  0.0169304  0.564663  0.035964  0.551542  0.030352
0.51  0.557977  0.0177173  0.597151  0.0391129  0.528254  0.0305702
0.55  0.538189  0.0172367  0.589534  0.0383365  0.498595  0.0289628
0.59  0.527557  0.0171902  0.604733  0.0394305  0.472538  0.0279728
0.63  0.511142  0.0178752  0.566256  0.0403848  0.468706  0.0295895
0.67  0.497173  0.0191647  0.582665  0.0448415  0.434995  0.0305128
0.7  0.499894  0.017369  0.507989  0.0376505  0.491218  0.0305494
0.74  0.46554  0.0160364  0.453945  0.0342157  0.477106  0.0290453
0.78  0.497948  0.0168649  0.498358  0.0362341  0.497917  0.0301935
0.82  0.491017  0.0211843  0.611336  0.0517124  0.407737  0.032791
