x     Ratio     Ratio_err      relative_err
0.19473  1.56433  0.00388622  0.00248427
0.22423  1.56041  0.00416069  0.00266642
0.254589  1.56183  0.0058474  0.00374395
0.284005  1.57761  0.00663928  0.00420845
0.314829  1.5503  0.00718117  0.00463213
0.343658  1.5738  0.00805053  0.00511534
0.373287  1.59437  0.0108562  0.00680913
0.4057  1.58417  0.0134041  0.00846125
0.434517  1.55415  0.0130429  0.00839236
0.465709  1.5865  0.0134315  0.00846614
0.494653  1.60867  0.0129909  0.00807557
0.524053  1.61472  0.0146586  0.00907815
0.553952  1.58801  0.0178843  0.011262
0.582396  1.61403  0.0256001  0.015861
0.616255  1.58715  0.0274531  0.0172971
0.645846  1.62003  0.0219054  0.0135215
0.674995  1.57529  0.0195435  0.0124063
0.705128  1.64205  0.0170123  0.0103604
0.735104  1.63416  0.0157591  0.00964355
0.764711  1.6497  0.0162713  0.0098632
0.794277  1.65711  0.0183942  0.0111002
0.823424  1.66778  0.0233941  0.0140271
