x   positron_err  relative_err
0.19473  0.00077209  0.000493559
0.22423  0.000368158  0.000235938
0.254589  0.000254274  0.000162805
0.284005  0.000247484  0.000156873
0.314829  0.000236828  0.000152763
0.343658  0.000210957  0.000134043
0.373287  0.000232049  0.000145543
0.4057  0.000212451  0.000134108
0.434517  0.000235482  0.000151518
0.465709  0.000193598  0.000122029
0.494653  0.000154666  9.61454e-05
0.524053  0.000166458  0.000103088
0.555124  0.000114027  7.18352e-05
0.584447  9.95332e-05  6.22833e-05
0.61494  8.15046e-05  5.17179e-05
0.644757  6.75242e-05  4.1821e-05
0.6743  6.24006e-05  3.94212e-05
0.705128  4.74761e-05  2.89127e-05
0.735104  3.41625e-05  2.09052e-05
0.764711  2.97197e-05  1.80153e-05
0.794277  2.60446e-05  1.57169e-05
0.823424  2.26843e-05  1.36015e-05
